DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,AT,2011,2.9,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,BE,2011,1.7,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,CY,2011,0.4,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,CZ,2011,1.8,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,DE,2011,3.9,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,DK,2011,1.3,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,EE,2011,7.3,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,EL,2011,-10.1,b
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,ES,2011,-0.8,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,FI,2011,2.5,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,FR,2011,2.2,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,HR,2011,-0.1,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,HU,2011,1.9,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,IE,2011,1.1,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,IT,2011,0.7,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,LT,2011,6.0,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,LU,2011,1.0,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,LV,2011,2.6,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,MT,2011,0.5,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,NL,2011,1.6,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,PL,2011,4.8,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,PT,2011,-1.7,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,RO,2011,1.9,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,SE,2011,3.2,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,SI,2011,0.9,
ESTAT:TEC00115(1.0),25/05/22 23:00:00,A,CLV_PCH_PRE,B1GQ,SK,2011,2.6,
