DATAFLOW,LAST UPDATE,freq,citizen,agedef,age,unit,sex,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,AT,2011,82230,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,BE,2011,147377,b
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,CY,2011,23037,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,CZ,2011,27114,b
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,DE,2011,489422,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,DK,2011,52833,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,EE,2011,3709,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,EL,2011,60089,b
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,ES,2011,371331,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,FI,2011,29481,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,FR,2011,319816,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,HR,2011,8534,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,HU,2011,28018,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IE,2011,57292,b
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,IT,2011,385793,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,LT,2011,15685,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,LU,2011,20268,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,LV,2011,10234,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,MT,2011,5465,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,NL,2011,130118,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,PL,2011,157059,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,PT,2011,19667,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,RO,2011,147685,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,SE,2011,96467,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,SI,2011,14083,
ESTAT:TPS00176(1.0),30/03/22 11:00:00,A,TOTAL,REACH,TOTAL,NR,T,SK,2011,4829,
