DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,AT,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,BE,2011,1415.24,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,CY,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,CZ,2011,319.22,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,DE,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,DK,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,EE,2011,278.02,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,EL,2011,862.82,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,ES,2011,748.30,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,FI,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,FR,2011,1365.00,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,HR,2011,381.15,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,HU,2011,280.63,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,IE,2011,1461.85,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,IT,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,LT,2011,231.70,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,LU,2011,1757.56,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,LV,2011,281.93,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,MT,2011,664.95,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,NL,2011,1424.40,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,PL,2011,348.68,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,PT,2011,565.83,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,RO,2011,157.20,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,SE,2011,,z
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,SI,2011,748.10,
ESTAT:TPS00155(1.0),28/01/22 11:00:00,A,EUR,SK,2011,317.00,
