DATAFLOW,LAST UPDATE,freq,unit,spdeps,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,AT,2011,28.8,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,BE,2011,29.9,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,CY,2011,20.1,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,CZ,2011,19.9,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,DE,2011,28.8,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,DK,2011,33.5,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,EE,2011,15.5,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,EL,2011,27.8,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,ES,2011,25.5,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,FI,2011,28.7,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,FR,2011,33.1,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,HR,2011,21.0,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,HU,2011,21.5,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,IE,2011,24.7,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,IT,2011,28.1,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,LT,2011,17.0,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,LU,2011,21.6,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,LV,2011,15.1,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,MT,2011,18.8,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,NL,2011,29.9,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,PL,2011,18.7,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,PT,2011,25.8,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,RO,2011,16.6,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,SE,2011,27.9,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,SI,2011,24.4,
ESTAT:TPS00098(1.0),27/04/22 23:00:00,A,PC_GDP,TOTALNOREROUTE,SK,2011,17.7,
