DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2011,4.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2012,5.2,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2011,7.2,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2012,7.6,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2011,7.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2012,11.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2011,6.7,b
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2012,7.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2011,5.5,b
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2012,5.1,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2011,7.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2012,7.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EE,2011,12.3,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EE,2012,9.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EL,2011,18.1,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EL,2012,24.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,ES,2011,21.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,ES,2012,24.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FI,2011,8.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FI,2012,7.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FR,2011,9.2,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FR,2012,9.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HR,2011,13.7,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HR,2012,16.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HU,2011,10.7,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HU,2012,10.7,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IE,2011,15.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IE,2012,15.5,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IT,2011,8.5,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IT,2012,10.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LT,2011,15.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LT,2012,13.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LU,2011,4.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LU,2012,5.1,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LV,2011,16.3,
