DATAFLOW,LAST UPDATE,freq,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,AT,2012,4.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,BE,2012,7.6,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CY,2012,11.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,CZ,2012,7.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DE,2012,5.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,DK,2012,7.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EE,2012,10.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,EL,2012,24.5,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,ES,2012,24.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FI,2012,7.7,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,FR,2012,9.8,e
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HR,2012,16.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,HU,2012,11.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IE,2012,15.5,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,IT,2012,10.7,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LT,2012,13.4,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LU,2012,5.1,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,LV,2012,15.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,MT,2012,6.2,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,NL,2012,5.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,PL,2012,10.1,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,PT,2012,15.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,RO,2012,6.8,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,SE,2012,8.0,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,SI,2012,8.9,
ESTAT:TIPSUN20(1.0),12/04/22 23:00:00,A,T,Y15-74,PC_ACT,SK,2012,14.0,
